"Plot14"
"Time (sec)","Linear Displacement1 (mm)","Linear Displacement2 (mm)","Linear Displacement3 (mm)"
2.88999999999998,25.000000000001,-6196.00895590466,-3046.42102365792
2.89999999999998,25.000000000001,-6205.25346109272,-3067.9053322949
2.90999999999998,25.000000000001,-6212.6543798035,-3088.9847599471
2.91999999999998,25.000000000001,-6217.93420821927,-3109.54042479297
2.92999999999998,25.000000000001,-6220.78126474786,-3129.45328998288
2.93999999999998,25.000000000001,-6220.85808527042,-3148.61285716689
2.94999999999998,25.000000000001,-6217.81798797176,-3166.9289274754
2.95999999999998,25.000000000001,-6211.33059193079,-3184.34528873404
2.96999999999998,25.000000000001,-6201.11403069553,-3200.85264368217
2.97999999999998,25.000000000001,-6186.96760850348,-3216.49694721454
2.98999999999998,25.000000000001,-6168.79599375045,-3231.37970684599
2.99999999999998,25.000000000001,-6146.61733215322,-3245.64920110862
3.00999999999998,25.000000000001,-6120.55314533186,-3259.48490638235
3.01999999999998,25.000000000001,-6090.80442506294,-3273.07963814779
3.02999999999998,25.000000000001,-6057.62198846497,-3286.62379496896
3.03999999999998,25.000000000001,-6021.27858929224,-3300.29422554693
3.04999999999998,25.000000000001,-5982.04715747244,-3314.24811074359
3.05999999999998,25.000000000001,-5940.18628835384,-3328.62089900221
3.06999999999998,25.000000000001,-5895.93205535199,-3343.52690715503
3.07999999999998,25.000000000001,-5849.49445580229,-3359.06135619305
3.08999999999998,25.000000000001,-5801.05684111187,-3375.30297571028
3.09999999999998,25.000000000001,-5750.77705110765,-3392.31665911955
3.10999999999998,25.000000000001,-5698.78938291449,-3410.15590590665
3.11999999999998,25.000000000001,-5645.20685937738,-3428.86494570447
3.12999999999998,25.000000000001,-5590.12349795441,-3448.480526359
3.13999999999998,25.000000000001,-5533.61643315919,-3469.033390251
3.14999999999998,25.000000000001,-5475.74783762086,-3490.54947924289
3.15999999999998,25.000000000001,-5416.56663930571,-3513.05091112574
3.16999999999998,25.000000000001,-5356.11006030756,-3536.55676657864
3.17999999999998,25.000000000001,-5294.40501554169,-3561.08371936108
3.18999999999998,25.000000000001,-5231.46941347801,-3586.64653575462
3.19999999999998,25.000000000001,-5167.31339885501,-3613.25846304721
