"Plot8"
"Time (sec)","Linear Velocity5 (mm/sec)","Linear Velocity6 (mm/sec)","Velocity1 (mm/sec)"
2.79999999999998,5.289996551235e-12,1040.01330862442,-5801.28844462365
2.80999999999998,5.30954310520232e-12,1092.44498107524,-5915.19328657985
2.81999999999998,5.32910143104621e-12,1147.757296727,-6029.90285983926
2.82999999999998,5.34866913872108e-12,1206.18984332798,-6145.41255679345
2.83999999999998,5.3682434897291e-12,1268.00261047231,-6261.69862014126
2.84999999999998,5.38782137726796e-12,1333.47682330934,-6378.71492388817
2.85999999999998,5.4073993069575e-12,1402.91574250951,-6496.38949472082
2.86999999999998,5.42697337814671e-12,1476.64545226451,-6614.62074705219
2.87999999999998,5.44653926572622e-12,1555.01565592985,-6733.27340561696
2.88999999999998,5.46609220221415e-12,1638.40051570893,-6852.17407354845
2.89999999999998,5.48562695976904e-12,1727.19957815201,-6971.10639066659
2.90999999999998,5.50513783159624e-12,1821.83883996445,-7089.80570277433
2.91999999999998,5.52461861202335e-12,1922.77201896233,-7207.95313618932
2.92999999999998,5.54406257428757e-12,2030.48210498114,-7325.16893512764
2.93999999999998,5.5634624448181e-12,2145.48327575573,-7441.00487449214
2.94999999999998,5.58281037251259e-12,2268.32326834729,-7554.93550401052
2.95999999999998,5.60209789119682e-12,2399.58629953623,-7666.34790908156
2.96999999999998,5.62131587314482e-12,2539.8966216988,-7774.52958776005
2.97999999999998,5.64045447123756e-12,2689.92278182556,-7878.65393846191
2.98999999999998,5.6595030471063e-12,2850.3826103131,-7977.76272894834
2.99999999999998,5.67845008251534e-12,3022.048891537,-8070.74477334021
3.00999999999998,5.69728307143449e-12,3205.75553949166,-8156.30988600708
3.01999999999998,5.71598839096887e-12,3402.40388834846,-8232.95702257121
3.02999999999998,5.7345511509576e-12,3612.96836247278,-8298.93539037472
3.03999999999998,5.75295502528638e-12,3838.50024176395,-8352.19727640118
3.04999999999998,5.77118207385558e-12,4080.12738164203,-8390.34151928903
3.05999999999998,5.78921257437592e-12,4339.0464429453,-8410.54715853985
3.06999999999998,5.80702490031464e-12,4616.50209551968,-8409.49824749502
3.07999999999998,5.82459550966164e-12,4913.74549055552,-8383.30348247856
3.08999999999998,5.84189915000492e-12,5231.95878106445,-8327.42004314224
3.09999999999998,5.85890945129395e-12,5572.13017522905,-8236.59942006268
3.10999999999998,5.87560015726388e-12,5934.8569739884,-8104.88810591219
3.11999999999998,5.89194733980891e-12,6320.05303038856,-7925.73655152071
3.12999999999998,5.90793299979101e-12,6726.54250594493,-7692.29520522294
3.13999999999998,5.92355039288932e-12,7151.54544755446,-7397.9967998588
3.14999999999998,5.93881106940827e-12,7590.11432055461,-7037.51623878161
3.15999999999998,5.95375280100081e-12,8034.66989974525,-6608.12404149623
3.16999999999998,5.96844627086951e-12,8474.88770872297,-6111.26765220647
3.17999999999998,5.98299712339565e-12,8898.22891214577,-5553.94293948197
3.18999999999998,5.99753989620852e-12,9291.28149767648,-4949.19835335778
3.19999999999998,6.01222272529751e-12,9641.73196443015,-4315.20005279938
3.20999999999998,6.02718616162017e-12,9940.37910487942,-3672.82402346203
3.21999999999998,6.0425431392812e-12,10182.45312954,-3042.48673052678
3.22999999999998,6.05836690218105e-12,10367.8030300573,-2441.32752256671
3.23999999999997,6.07468948734386e-12,10500.062187339,-1881.59143487073
3.24999999999997,6.09150852215992e-12,10585.2922444102,-1370.38698507341
3.25999999999997,6.10879778083512e-12,10630.6359101848,-910.43278395113
3.26999999999997,6.12651752275624e-12,10643.2954450507,-501.231896174627
3.27999999999997,6.14462250630249e-12,10629.9131943829,-140.238331350607
3.28999999999997,6.16306722912747e-12,10596.2856830776,176.204592953007
3.29999999999997,6.18180884181274e-12,10547.2985141691,452.206098489604
3.30999999999997,6.20080844236272e-12,10486.9822300072,691.914229208776
3.31999999999997,6.2200313878639e-12,10418.6202256005,899.282929428419
3.32999999999997,6.2394470845335e-12,10344.8684353627,1077.95945259275
3.33999999999997,6.2590285487055e-12,10267.8666735715,1231.24516769316
3.34999999999997,6.27875190847139e-12,10189.3336549834,1362.09788800694
3.35999999999997,6.29859593219504e-12,10110.6442256311,1473.15494188918
3.36999999999997,6.3185416229553e-12,10032.890330997,1566.76475088154
3.37999999999997,6.33857189019722e-12,9956.92837719878,1645.01994595448
3.38999999999997,6.35867129597746e-12,9883.4157946671,1709.78841957509
3.39999999999997,6.37882586667229e-12,9812.83935061689,1762.74071760468
3.40999999999997,6.39902295864806e-12,9745.53734596038,1805.37332684811
3.41999999999997,6.41925116608053e-12,9681.71737967169,1839.02803734065
3.42999999999997,6.43950026025167e-12,9621.47103087303,1864.90787276596
3.43999999999997,6.45976115028122e-12,9564.78636854429,1884.09023202392
3.44999999999997,6.48002585750219e-12,9511.55902105548,1897.53785886031
3.45999999999997,6.50028749653456e-12,9461.60225047809,1906.1082767913
3.46999999999997,6.5205402578475e-12,9414.65631597336,1910.56220980988
3.47999999999997,6.54077938774491e-12,9370.39727062407,1911.57145325
3.48999999999997,6.56100116298923e-12,9328.44522985792,1909.72654925073
3.49999999999997,6.5812028582742e-12,9288.37207630164,1905.54454198863
3.50999999999997,6.60138270568619e-12,9249.70851490634,1899.47700137159
3.51999999999997,6.62153984604041e-12,9211.95036344428,1891.91843139364
3.52999999999997,6.64167427255834e-12,9174.56395010507,1883.21512242699
3.53999999999997,6.66178676779267e-12,9136.99048947424,1873.67445866972
3.54999999999997,6.68187883495287e-12,9098.649316384,1863.57466598999
3.55999999999997,6.70195262489876e-12,9058.93987069026,1853.17496900168
3.56999999999997,6.72201086000248e-12,9017.2423423921,1842.726129804
3.57999999999997,6.74205675587464e-12,8972.91690317106,1832.48135486254
3.58999999999997,6.76209394157889e-12,8925.30146653713,1822.70758498828
3.59999999999997,6.78212637843162e-12,8873.70793399977,1813.69722058405
3.60999999999997,6.80215827677505e-12,8817.41690069114,1805.78037890785
3.61999999999997,6.82219400919842e-12,8755.67081423651,1799.33782774349
3.62999999999997,6.84223801751874e-12,8687.66561181907,1794.81478466294
3.63999999999997,6.86229470935792e-12,8612.54091315232,1792.73580548269
3.64999999999997,6.88236833829082e-12,8529.36893798258,1793.72099591137
3.65999999999997,6.90246285919915e-12,8437.14247135711,1798.50374693322
3.66999999999997,6.92258174757642e-12,8334.76245575847,1807.95008386214
3.67999999999997,6.94272776806847e-12,8221.02620081896,1823.07947982067
3.68999999999997,6.96290267364191e-12,8094.61784398966,1845.08653671983
3.69999999999997,6.98310681291605e-12,7954.10366710186,1875.36216283258
3.70999999999996,7.00333862049032e-12,7797.93627456862,1915.51162152384
3.71999999999996,7.0235939653291e-12,7624.47374190376,1967.3647525681
3.72999999999996,7.0438653434827e-12,7432.02165180004,2032.97131278463
3.73999999999996,7.06414091578312e-12,7218.91042507682,2114.56929726881
3.74999999999996,7.08440344990276e-12,6983.62022360123,2214.51134346145
3.75999999999996,7.10462929572134e-12,6724.96807740751,2335.12861654748
3.76999999999996,7.12478765089446e-12,6442.36555743588,2478.51157874547
3.77999999999996,7.14484052060204e-12,6136.14114842146,2646.19386431172
3.78999999999996,7.16474389885578e-12,5807.89369479501,2838.74690008026
3.79999999999996,7.18445068510459e-12,5460.80356589094,3055.33282959348
3.80999999999996,7.20391555263195e-12,5099.78902528863,3293.31651071048
3.81999999999996,7.22310132336217e-12,4731.38384881256,3548.08092726104
3.82999999999996,7.24198552980792e-12,4363.25992918146,3813.18565489975
3.83999999999996,7.26056522650342e-12,4003.43273575976,4080.92487737298
3.84999999999996,7.27885830581766e-12,3659.32429231224,4343.19610237967
3.85999999999996,7.29690071782712e-12,3336.93604806685,4592.4575289907
3.86999999999996,7.31474052635951e-12,3040.34516332293,4822.51590186756
3.87999999999996,7.33243075344654e-12,2771.60395664472,5028.97027920603
3.88999999999996,7.35002297482121e-12,2530.97745675364,5209.28122065422
3.89999999999996,7.36756285858535e-12,2317.37272246917,5362.55381009162
