"Plot12"
"Time (sec)","Angular Velocity1 (deg/sec)"
7.51999999999988,93.3591776237319
7.52999999999988,94.2605800826925
7.53999999999988,95.1324585499047
7.54999999999988,95.9747010366769
7.55999999999988,96.7872671612687
7.56999999999988,97.5701914759303
7.57999999999988,98.3235865631949
7.58999999999988,99.0476458502372
7.59999999999988,99.7426460797669
7.60999999999988,100.408949368487
7.61999999999988,101.047004776029
7.62999999999988,101.657349297998
7.63999999999988,102.240608189977
7.64999999999988,102.797494523343
7.65999999999988,103.328807867296
7.66999999999988,103.835431992963
7.67999999999988,104.31833149303
7.68999999999988,104.778547218157
7.69999999999988,105.21719044088
7.70999999999988,105.635435671255
7.71999999999988,106.034512072217
7.72999999999988,106.415693446325
7.73999999999988,106.780286800923
7.74999999999988,107.129619535687
7.75999999999988,107.465025336292
7.76999999999988,107.787828825116
7.77999999999988,108.099329691583
7.78999999999988,108.400785258184
7.79999999999988,108.693393282862
7.80999999999988,108.978274401244
7.81999999999988,109.256454764751
7.82999999999988,109.528849311642
7.83999999999988,109.796246031189
7.84999999999988,110.059291615873
7.85999999999988,110.31847887821
7.86999999999988,110.57413626486
7.87999999999988,110.826419766035
7.88999999999988,111.075307441903
7.89999999999988,111.320596728065
7.90999999999988,111.561904590813
7.91999999999988,111.798670528395
7.92999999999988,112.030162325888
7.93999999999988,112.255484396459
7.94999999999987,112.4735884718
7.95999999999987,112.683286347279
7.96999999999987,112.88326434345
7.97999999999987,113.072099117056
7.98999999999987,113.248274443171
7.99999999999987,113.410198591135
8.00999999999987,113.556221933082
8.01999999999987,113.684654451432
8.02999999999987,113.793782847927
8.03999999999987,113.881886999515
8.04999999999987,113.947255553535
8.05999999999987,113.98820050081
8.06999999999987,114.003070613343
8.07999999999987,113.990263675781
8.08999999999987,113.948237479458
8.09999999999987,113.875519580832
8.10999999999987,113.77071585446
8.11999999999987,113.632517890517
8.12999999999987,113.45970930283
8.13999999999987,113.251171022172
8.14999999999987,113.005885652794
8.15999999999987,112.722940970662
8.16999999999987,112.401532636134
8.17999999999987,112.040966187832
8.18999999999987,111.640658374976
8.19999999999987,111.200137875515
8.20999999999987,110.719045437932
8.21999999999987,110.197133474283
8.22999999999987,109.634265124318
8.23999999999987,109.030412803605
8.24999999999987,108.385656243807
8.25999999999987,107.700180031144
8.26999999999987,106.974270648357
8.27999999999987,106.208313027416
8.28999999999987,105.402786623793
8.29999999999987,104.558261029327
8.30999999999987,103.67539114585
8.31999999999987,102.754911949807
8.32999999999987,101.797632886134
8.33999999999987,100.804431935387
8.34999999999987,99.7762494071168
8.35999999999987,98.714081508987
8.36999999999987,97.618973805232
8.37999999999987,96.4920145057571
8.38999999999987,95.3343277453294
8.39999999999987,94.147066993103
8.40999999999987,92.9314084902599
8.41999999999986,91.6885448589835
8.42999999999986,90.419678941875
8.43999999999986,89.1260179152352
8.44999999999986,87.8087677135749
8.45999999999986,86.4691278010382
8.46999999999986,85.1082863220226
8.47999999999986,83.7274156557824
8.48999999999986,82.3276683867006
8.49999999999986,80.9101736966609
8.50999999999986,79.4760341820702
8.51999999999986,78.0263230963674
8.52999999999986,76.5620820076804
8.53999999999986,75.0843188604651
8.54999999999986,73.5940064245746
8.55999999999986,72.0920811164084
8.56999999999986,70.5794421727852
8.57999999999986,69.0569511570373
8.58999999999986,67.5254317743341
