"Plot9"
"Time (sec)","Acceleration1 (mm/sec**2)","Acceleration2 (mm/sec**2)","Linear Acceleration2 (mm/sec**2)"
2.90999999999998,9.40855923310997e-13,2021.47780226155,3.70456763459111
2.91999999999998,9.40855923310997e-13,1613.68493668062,4.01153335866325
2.92999999999998,9.40855923310997e-13,1176.49809253191,4.30997975835933
2.93999999999998,9.40855923310997e-13,710.114411789772,4.59866799956034
2.94999999999998,9.40855923310997e-13,214.890152630884,4.87644343923332
2.95999999999998,9.40855923310997e-13,-308.648018562317,5.14225144464393
2.96999999999998,9.40855923310997e-13,-859.784658851384,5.3951487024013
2.97999999999998,9.40855923310997e-13,-1437.58544288431,5.63430756043927
2.98999999999998,9.40855923310997e-13,-2040.84857980787,5.85901002145419
2.99999999999998,9.40855923310997e-13,-2668.0280599248,6.06862669296852
3.00999999999998,9.40855923310997e-13,-3317.11488445998,6.26257411486067
3.01999999999998,9.40855923310997e-13,-3985.45667635954,6.44024122954682
3.02999999999998,9.40855923310997e-13,-4669.4881170741,6.60087202284058
3.03999999999998,9.40855923310997e-13,-5364.33402367757,6.74338629283816
3.04999999999998,9.40855923310997e-13,-6063.23340654195,6.86611397718556
3.05999999999998,9.40855923310997e-13,-6756.83291253113,6.96645999269908
3.06999999999998,9.40855923310997e-13,-7431.5640270726,7.04016009416931
3.07999999999998,9.40855923310997e-13,-8068.69701250636,7.08080264126094
3.08999999999998,9.40855923310997e-13,-8642.21057792444,7.07881231876851
3.09999999999998,9.40855923310997e-13,-9115.784808028,7.02003876688469
3.10999999999998,9.40855923310997e-13,-9440.49090911919,6.88462406744437
3.11999999999998,9.40855923310996e-13,-9552.40699165285,6.64587429936913
3.12999999999998,9.40855923310996e-13,-9372.21230964247,6.27011091551093
3.13999999999998,9.40855923310996e-13,-8809.07531246388,5.71867125172039
3.14999999999998,9.40855923310996e-13,-7772.04682952692,4.95367493435982
3.15999999999998,9.40855923310996e-13,-6191.5230948717,3.94884538763948
3.16999999999998,9.40855923310997e-13,-4049.45767692564,2.70468943737356
3.17999999999998,9.40855923310996e-13,-1409.220533651,1.26334432550227
3.18999999999998,9.40855923310997e-13,1571.79438836176,-0.285612786648486
3.19999999999998,9.40855923310996e-13,4662.44797806763,-1.81643291010841
3.20999999999998,9.40855923310997e-13,7610.39420293661,-3.19512543758494
3.21999999999998,9.40855923310997e-13,10204.3603756333,-4.31222359280374
3.22999999999998,9.40855923310997e-13,12316.3673722086,-5.10475228485337
3.23999999999997,9.40855923310997e-13,13908.9660031625,-5.55957816811516
3.24999999999997,9.40855923310997e-13,15014.5088136089,-5.70189044510318
3.25999999999997,9.40855923310997e-13,15704.1568241028,-5.57823212652532
3.26999999999997,9.40855923310997e-13,16060.9893145342,-5.24176204951623
3.27999999999997,9.40855923310997e-13,16162.96248388,-4.74284831195101
3.28999999999997,9.40855923310997e-13,16075.0609575402,-4.12466248882275
3.29999999999997,9.40855923310997e-13,15847.5654300982,-3.42212565749727
3.30999999999997,9.40855923310997e-13,15517.4758113401,-2.66260287155653
3.31999999999997,9.40855923310997e-13,15111.0928822533,-1.86725311078576
3.32999999999997,9.40855923310997e-13,14646.7270217504,-1.05246215730589
3.33999999999997,9.40855923310997e-13,14136.9532440254,-0.231035417861367
3.34999999999997,9.40855923310997e-13,13590.5002108966,0.586811642681393
3.35999999999997,9.40855923310997e-13,13013.5749706925,1.39277105361488
3.36999999999997,9.40855923310997e-13,12410.8492566782,2.1799476252339
3.37999999999997,9.40855923310997e-13,11786.1370881855,2.942532638755
3.38999999999997,9.40855923310997e-13,11142.8501978708,3.67559607173793
3.39999999999997,9.40855923310997e-13,10484.2900124211,4.37496235931069
3.40999999999997,9.40855923310997e-13,9813.82231358719,5.03714190035993
3.41999999999997,9.40855923310997e-13,9134.96145835015,5.65930014838468
3.42999999999997,9.40855923310997e-13,8451.40582884849,6.23924235708189
3.43999999999997,9.40855923310997e-13,7767.01981091436,6.77541220927372
3.44999999999997,9.40855923310997e-13,7085.79070297955,7.26689072599492
3.45999999999997,9.40855923310997e-13,6411.76976069271,7.71339050916753
3.46999999999997,9.40855923310997e-13,5749.00060720833,8.11524411954038
3.47999999999997,9.40855923310997e-13,5101.44404670582,8.47338360657987
3.48999999999997,9.40855923310997e-13,4472.9034514726,8.7893108761645
3.49999999999997,9.40855923310997e-13,3866.95436773819,9.06505921251193
3.50999999999997,9.40855923310997e-13,3286.88100982398,9.30314690379125
3.51999999999997,9.40855923310997e-13,2735.62142452823,9.50652443466032
3.52999999999997,9.40855923310997e-13,2215.72234603396,9.67851690676826
3.53999999999997,9.40855923310997e-13,1729.30403269185,9.82276347754523
3.54999999999997,9.40855923310997e-13,1278.03471064529,9.94315551425868
3.55999999999997,9.40855923310997e-13,863.113619526089,10.0437749599146
