"Plot2"
"Time (sec)","Center of Mass Position2 (mm)","Center of Mass Position4 (mm)","Center of Mass Position5 (mm)"
2.71999999999999,3.67761376907083e-13,-1687.95045853404,-1040.33818228224
2.72999999999999,3.67761376907083e-13,-1674.68653142851,-1061.46536637185
2.73999999999999,3.67761376907083e-13,-1660.93487163964,-1082.76970668435
2.74999999999999,3.67761376907083e-13,-1646.69376254234,-1104.22559670699
2.75999999999999,3.67761376907083e-13,-1631.96294305952,-1125.80647406751
2.76999999999998,3.67761376907083e-13,-1616.74373032121,-1147.48485645677
2.77999999999998,3.67761376907083e-13,-1601.0391432426,-1169.23238646656
2.78999999999998,3.67761376907083e-13,-1584.8540260944,-1191.01988571855
2.79999999999998,3.67761376907083e-13,-1568.19517119932,-1212.81741836438
2.80999999999998,3.67761376907083e-13,-1551.07143945505,-1234.59436440089
2.81999999999998,3.67761376907083e-13,-1533.49387781154,-1256.31950243887
2.82999999999998,3.67761376907083e-13,-1515.47583237552,-1277.96110196174
2.83999999999998,3.67761376907083e-13,-1497.03305599476,-1299.48702465349
2.84999999999998,3.67761376907083e-13,-1478.18380911851,-1320.86483425652
2.85999999999998,3.67761376907083e-13,-1458.94895270754,-1342.0619142645
2.86999999999998,3.67761376907083e-13,-1439.35203208744,-1363.04559245544
2.87999999999998,3.67761376907083e-13,-1419.41935061401,-1383.78327116569
2.88999999999998,3.67761376907083e-13,-1399.18003218763,-1404.24256190838
2.89999999999998,3.67761376907083e-13,-1378.66607169692,-1424.39142281502
2.90999999999998,3.67761376907083e-13,-1357.9123726285,-1444.19829715927
2.91999999999998,3.67761376907083e-13,-1336.95677116957,-1463.63225110239
2.92999999999998,3.67761376907083e-13,-1315.84004622983,-1482.66310868819
2.93999999999998,3.67761376907083e-13,-1294.60591485355,-1501.26158207125
2.94999999999998,3.67761376907083e-13,-1273.30101244339,-1519.3993949994
2.95999999999998,3.67761376907083e-13,-1251.97485704268,-1537.04939769821
2.96999999999998,3.67761376907083e-13,-1230.67979651679,-1554.18567157949
2.97999999999998,3.67761376907083e-13,-1209.47093676086,-1570.78362263739
2.98999999999998,3.67761376907083e-13,-1188.40604786587,-1586.82006308906
2.99999999999998,3.67761376907083e-13,-1167.54544330522,-1602.27328183699
3.00999999999998,3.67761376907083e-13,-1146.95182435132,-1617.1231058157
3.01999999999998,3.67761376907083e-13,-1126.69007768282,-1631.35095641576
3.02999999999998,3.67761376907083e-13,-1106.82700791547,-1644.93990821719
3.03999999999998,3.67761376907083e-13,-1087.43097778242,-1657.87476157736
3.04999999999998,3.67761376907083e-13,-1068.57141584333,-1670.14214669861
3.05999999999998,3.67761376907083e-13,-1050.31813359439,-1681.73068526778
3.06999999999998,3.67761376907083e-13,-1032.74036895388,-1692.6312474731
3.07999999999998,3.67761376907083e-13,-1015.90544041848,-1702.83735752407
3.08999999999998,3.67761376907083e-13,-999.876854603123,-1712.34582043262
3.09999999999998,3.67761376907083e-13,-984.711662327251,-1721.15766531877
3.10999999999998,3.67761376907083e-13,-970.456814304416,-1729.27952141266
3.11999999999998,3.67761376907083e-13,-957.144248769058,-1736.72555173113
3.12999999999998,3.67761376907083e-13,-944.784494901387,-1743.52004425388
3.13999999999998,3.67761376907083e-13,-933.35877173525,-1749.70066505818
3.14999999999998,3.67761376907083e-13,-922.809998703066,-1755.32216479092
3.15999999999998,3.67761376907083e-13,-913.033879859569,-1760.45996492648
3.16999999999998,3.67761376907083e-13,-903.872198976753,-1765.2125732082
3.17999999999998,3.67761376907083e-13,-895.111271255502,-1769.70138600832
3.18999999999998,3.67761376907083e-13,-886.488392911317,-1774.06650293537
3.19999999999998,3.67761376907083e-13,-877.707411853808,-1778.45805754366
3.20999999999998,3.67761376907083e-13,-868.461393522677,-1783.0241638927
3.21999999999998,3.67761376907083e-13,-858.457322529069,-1787.89810662336
3.22999999999998,3.67761376907083e-13,-847.436871330671,-1793.18784049902
3.23999999999997,3.67761376907083e-13,-835.189141525321,-1798.9698781211
3.24999999999997,3.67761376907083e-13,-821.554589820714,-1805.28792525393
3.25999999999997,3.67761376907083e-13,-806.422057374602,-1812.15521782756
3.26999999999997,3.67761376907083e-13,-789.721880010477,-1819.55896609046
3.27999999999997,3.67761376907083e-13,-771.417721769198,-1827.46549030034
3.28999999999997,3.67761376907083e-13,-751.49884325558,-1835.82512494532
3.29999999999997,3.67761376907083e-13,-729.973616329126,-1844.57644674503
3.30999999999997,3.67761376907083e-13,-706.864483350362,-1853.64970998955
3.31999999999997,3.67761376907083e-13,-682.204235199343,-1862.9695480322
3.32999999999997,3.67761376907083e-13,-656.033358140562,-1872.45706822551
3.33999999999997,3.67761376907083e-13,-628.398185220614,-1882.0314766931
3.34999999999997,3.67761376907083e-13,-599.349621631744,-1891.6113519196
3.35999999999997,3.67761376907083e-13,-568.942261346346,-1901.11566065928
3.36999999999997,3.67761376907083e-13,-537.233758232963,-1910.46458497266
3.37999999999997,3.67761376907083e-13,-504.284353263284,-1919.58020853748
3.38999999999997,3.67761376907083e-13,-470.15648934019,-1928.38709442301
3.39999999999997,3.67761376907083e-13,-434.91446770988,-1936.81277482191
3.40999999999997,3.67761376907083e-13,-398.624116384318,-1944.78816501996
3.41999999999997,3.67761376907083e-13,-361.352452943844,-1952.24790836582
3.42999999999997,3.67761376907083e-13,-323.167332621099,-1959.13065552629
3.43999999999997,3.67761376907083e-13,-284.137078706172,-1965.37927931324
3.44999999999997,3.67761376907083e-13,-244.330096539571,-1970.94102546848
3.45999999999997,3.67761376907083e-13,-203.814475237095,-1975.76759964621
3.46999999999997,3.67761376907083e-13,-162.65758316161,-1979.81519119365
3.47999999999997,3.67761376907083e-13,-120.925664188178,-1983.04443501916
3.48999999999997,3.67761376907083e-13,-78.6834422469547,-1985.42031369121
3.49999999999997,3.67761376907083e-13,-35.9937415732981,-1986.91200282188
3.50999999999997,3.67761376907083e-13,7.08287031660144,-1987.49266366304
3.51999999999997,3.67761376907083e-13,50.488410590265,-1987.13918761881
3.52999999999997,3.67761376907083e-13,94.1677745266462,-1985.8318980099
3.53999999999997,3.67761376907083e-13,138.068989897345,-1983.554214889
3.54999999999997,3.67761376907083e-13,182.143428779344,-1980.29228899351
3.55999999999997,3.67761376907083e-13,226.345974237522,-1976.0346110396
3.56999999999997,3.67761376907083e-13,270.635140166242,-1970.77160253238
3.57999999999997,3.67761376907083e-13,314.973143277406,-1964.49519412564
3.58999999999997,3.67761376907083e-13,359.325926694912,-1957.19839736245
3.59999999999997,3.67761376907083e-13,403.663134811204,-1948.87487542914
3.60999999999997,3.67761376907083e-13,447.958038909858,-1939.51851844412
3.61999999999997,3.67761376907083e-13,492.187412488635,-1929.12302888587
3.62999999999997,3.67761376907083e-13,536.331354145025,-1917.68152317718
3.63999999999997,3.67761376907083e-13,580.373054208988,-1905.18615636223
3.64999999999997,3.67761376907083e-13,624.298498908418,-1891.62777846798
3.65999999999997,3.67761376907083e-13,668.096102594689,-1876.99563383001
3.66999999999997,3.67761376907083e-13,711.756254301728,-1861.27711876838
3.67999999999997,3.67761376907083e-13,755.270759551136,-1844.4576189983
3.68999999999997,3.67761376907083e-13,798.632151838754,-1826.52045661416
3.69999999999997,3.67761376907083e-13,841.832840872189,-1807.44698797818
3.70999999999996,3.67761376907083e-13,884.86405709677,-1787.21690881807
3.71999999999996,3.67761376907083e-13,927.714545867433,-1765.80884129632
3.72999999999996,3.67761376907083e-13,970.368963534291,-1743.20129825598
3.73999999999996,3.67761376907083e-13,1012.80593610403,-1719.37413924772
3.74999999999996,3.67761376907083e-13,1054.99576961025,-1694.31064279103
3.75999999999996,3.67761376907083e-13,1096.89786131785,-1668.00030597119
3.76999999999996,3.67761376907083e-13,1138.4579669066,-1640.44242390942
3.77999999999996,3.67761376907083e-13,1179.60563959467,-1611.65037050955
3.78999999999996,3.67761376907083e-13,1220.25236129782,-1581.65627646086
3.79999999999996,3.67761376907083e-13,1260.2910804797,-1550.51548919878
3.80999999999996,3.67761376907083e-13,1299.59794655975,-1518.30987583751
3.81999999999996,3.67761376907083e-13,1338.03683975185,-1485.14885285593
3.82999999999996,3.67761376907083e-13,1375.46673891042,-1451.16719872514
3.83999999999996,3.67761376907083e-13,1411.75112781416,-1416.51934252507
3.84999999999996,3.67761376907083e-13,1446.76783626393,-1381.37078807858
3.85999999999996,3.67761376907083e-13,1480.41738097412,-1345.88822235548
3.86999999999996,3.67761376907083e-13,1512.62825289774,-1310.23021620358
3.87999999999996,3.67761376907083e-13,1543.35852422292,-1274.54008438511
3.88999999999996,3.67761376907083e-13,1572.59415319479,-1238.94166191135
3.89999999999996,3.67761376907083e-13,1600.34502044032,-1203.53790691856
3.90999999999996,3.67761376907083e-13,1626.6398924342,-1168.41168495044
3.91999999999996,3.67761376907083e-13,1651.52129922469,-1133.62790764723
3.92999999999996,3.67761376907083e-13,1675.04095417655,-1099.23628873295
3.93999999999996,3.67761376907083e-13,1697.25600486831,-1065.27418973557
3.94999999999996,3.67761376907083e-13,1718.22616423945,-1031.76924336062
3.95999999999996,3.67761376907083e-13,1738.01163615605,-998.741609849029
3.96999999999996,3.67761376907083e-13,1756.67169409155,-966.205829925313
3.97999999999996,3.67761376907083e-13,1774.26376382191,-934.172298360978
3.98999999999996,3.67761376907083e-13,1790.84287764924,-902.648408464009
3.99999999999996,3.67761376907083e-13,1806.46139216766,-871.63942532378
4.00999999999996,3.67761376907083e-13,1821.16888663279,-841.149142520802
4.01999999999996,3.67761376907083e-13,1835.01218063095,-811.180369713776
4.02999999999996,3.67761376907083e-13,1848.03542703585,-781.73529013531
