"Body 2 CM Motion"
"Time (sec)","Center of Mass Position6 (mm)","Center of Mass Position8 (mm)","Center of Mass Position9 (mm)"
2.75999999999999,7.94503351997378e-13,-3704.69923716805,-1360.46371486957
2.76999999999998,7.94503351997378e-13,-3696.20489102388,-1414.55075501158
2.77999999999998,7.94503351997378e-13,-3687.29521095552,-1469.7504350338
2.78999999999998,7.94503351997378e-13,-3677.94992924389,-1526.06985754607
2.79999999999998,7.94503351997378e-13,-3668.14707226413,-1583.51653099843
2.80999999999998,7.94503351997378e-13,-3657.8627829674,-1642.09827159305
2.81999999999998,7.94503351997378e-13,-3647.07113222119,-1701.82308093998
2.82999999999998,7.94503351997378e-13,-3635.74391981225,-1762.69899798083
2.83999999999998,7.94503351997378e-13,-3623.85046524195,-1824.73392243552
2.84999999999998,7.94503351997378e-13,-3611.3573888533,-1887.93540737478
2.85999999999998,7.94503351997378e-13,-3598.22838354356,-1952.31041841019
2.86999999999998,7.94503351997378e-13,-3584.42397731203,-2017.8650565999
2.87999999999998,7.94503351997378e-13,-3569.90128665121,-2084.60424225328
2.88999999999998,7.94503351997378e-13,-3554.61376050468,-2152.53135616052
2.89999999999998,7.94503351997378e-13,-3538.51091415044,-2221.64783455878
2.90999999999998,7.94503351997378e-13,-3521.53805184384,-2291.95271328057
2.91999999999998,7.94503351997378e-13,-3503.63597647807,-2363.44211574035
2.92999999999998,7.94503351997378e-13,-3484.74068376248,-2436.10867811017
2.93999999999998,7.94503351997378e-13,-3464.78303760781,-2509.94090342371
2.94999999999998,7.94503351997378e-13,-3443.6884224485,-2584.92243419935
2.95999999999998,7.94503351997378e-13,-3421.37636724829,-2661.03123037841
2.96999999999998,7.94503351997378e-13,-3397.76013491226,-2738.23863583211
2.97999999999998,7.94503351997378e-13,-3372.74626991686,-2816.50831215764
2.98999999999998,7.94503351997378e-13,-3346.23409629503,-2895.79501284237
2.99999999999998,7.94503351997378e-13,-3318.11515796098,-2976.04316386496
3.00999999999998,7.94503351997378e-13,-3288.27259414006,-3057.18520829582
3.01999999999998,7.94503351997378e-13,-3256.58044505552,-3139.13966234167
3.02999999999998,7.94503351997378e-13,-3222.902888077,-3221.80881869833
3.03999999999998,7.94503351997378e-13,-3187.09341389746,-3305.07602061113
3.04999999999998,7.94503351997378e-13,-3148.99396851902,-3388.8024181662
3.05999999999998,7.94503351997378e-13,-3108.43411374834,-3472.82311031921
3.06999999999998,7.94503351997378e-13,-3065.23030185896,-3556.94257686027
3.07999999999998,7.94503351997378e-13,-3019.18542774301,-3640.92932845656
3.08999999999998,7.94503351997378e-13,-2970.08892284077,-3724.50976337356
3.09999999999998,7.94503351997378e-13,-2917.71780153526,-3807.3613518028
3.10999999999998,7.94503351997378e-13,-2861.83926916079,-3889.10551821743
3.11999999999998,7.94503351997378e-13,-2802.21574238685,-3969.30101706168
3.12999999999998,7.94503351997378e-13,-2738.61337049909,-4047.43925726549
3.13999999999998,7.94503351997378e-13,-2670.81525602007,-4122.94393213873
3.14999999999998,7.94503351997378e-13,-2598.64031482938,-4195.17830155303
3.15999999999998,7.94503351997378e-13,-2521.96773865519,-4263.46408522316
3.16999999999998,7.94503351997378e-13,-2440.7650219038,-4327.11527339603
3.17999999999998,7.94503351997378e-13,-2355.11463931683,-4385.48718369098
3.18999999999998,7.94503351997378e-13,-2265.2318350099,-4438.03547496877
3.19999999999998,7.94503351997378e-13,-2171.46569220986,-4484.37332530595
3.20999999999998,7.94503351997378e-13,-2074.27940299049,-4524.31160634758
3.21999999999998,7.94503351997378e-13,-1974.21263792913,-4557.87031700896
3.22999999999998,7.94503351997378e-13,-1871.83535399878,-4585.25916544833
3.23999999999997,7.94503351997378e-13,-1767.7043576225,-4606.83552955355
3.24999999999997,7.94503351997378e-13,-1662.33083722765,-4623.05325991235
3.25999999999997,7.94503351997378e-13,-1556.16167440108,-4634.41446027986
3.26999999999997,7.94503351997378e-13,-1449.57289855487,-4641.43131752455
3.27999999999997,7.94503351997378e-13,-1342.87159696692,-4644.59990862698
3.28999999999997,7.94503351997378e-13,-1236.30254094057,-4644.38463309602
3.29999999999997,7.94503351997378e-13,-1130.05670650435,-4641.21062327576
3.30999999999997,7.94503351997378e-13,-1024.27994278165,-4635.46146580741
3.31999999999997,7.94503351997378e-13,-919.08089327647,-4627.48010165773
3.32999999999997,7.94503351997378e-13,-814.537827790627,-4617.57140864323
3.33999999999997,7.94503351997378e-13,-710.704350097277,-4606.00551005185
3.34999999999997,7.94503351997378e-13,-607.614092335465,-4593.02124615519
3.35999999999997,7.94503351997378e-13,-505.284557865621,-4578.82950570333
3.36999999999997,7.94503351997378e-13,-403.720277499149,-4563.61627640795
3.37999999999997,7.94503351997378e-13,-302.915425308308,-4547.54536782146
3.38999999999997,7.94503351997378e-13,-202.856014433717,-4530.76081136981
3.39999999999997,7.94503351997378e-13,-103.521767546215,-4513.38896741085
3.40999999999997,7.94503351997378e-13,-4.88773385508668,-4495.54037889936
3.41999999999997,7.94503351997378e-13,93.0742944722523,-4477.31141195553
3.42999999999997,7.94503351997378e-13,190.394528152984,-4458.78572060707
3.43999999999997,7.94503351997378e-13,287.104062238696,-4440.03556680554
3.44999999999997,7.94503351997378e-13,383.233875006336,-4421.12302014282
3.45999999999997,7.94503351997378e-13,478.813931432423,-4402.10105629275
3.46999999999997,7.94503351997378e-13,573.872382866179,-4383.01456637717
3.47999999999997,7.94503351997378e-13,668.434856276111,-4363.90128537754
3.48999999999997,7.94503351997378e-13,762.523827830839,-4344.79264296755
3.49999999999997,7.94503351997378e-13,856.15807545814,-4325.71453744627
3.50999999999997,7.94503351997378e-13,949.352204631726,-4306.68803087663
3.51999999999997,7.94503351997378e-13,1042.11624063863,-4287.72996213427
3.52999999999997,7.94503351997378e-13,1134.45527940759,-4268.85347369612
3.53999999999997,7.94503351997378e-13,1226.36918774316,-4250.06844760335
3.54999999999997,7.94503351997378e-13,1317.8523425333,-4231.3818461506
3.55999999999997,7.94503351997378e-13,1408.89339739742,-4212.7979530023
3.56999999999997,7.94503351997378e-13,1499.47506420883,-4194.3185108279
3.57999999999997,7.94503351997378e-13,1589.57389611812,-4175.94275169581
3.58999999999997,7.94503351997378e-13,1679.16005801697,-4157.66731651715
3.59999999999997,7.94503351997378e-13,1768.19706989003,-4139.48605947096
3.60999999999997,7.94503351997378e-13,1856.64150816237,-4121.38973261825
3.61999999999997,7.94503351997378e-13,1944.44265001586,-4103.36554470203
3.62999999999997,7.94503351997378e-13,2031.54204579266,-4085.39658645554
3.63999999999997,7.94503351997378e-13,2117.87300518881,-4067.46111266952
3.64999999999997,7.94503351997378e-13,2203.3599842753,-4049.53166894703
3.65999999999997,7.94503351997378e-13,2287.91786296389,-4031.57404886109
3.66999999999997,7.94503351997378e-13,2371.45110718862,-4013.54606568934
3.67999999999997,7.94503351997378e-13,2453.85281805922,-3995.39612306607
3.68999999999997,7.94503351997378e-13,2535.00368346934,-3977.06157240333
3.69999999999997,7.94503351997378e-13,2614.77086884964,-3958.46685444092
3.70999999999996,7.94503351997378e-13,2693.00691671423,-3939.5214418559
3.71999999999996,7.94503351997378e-13,2769.54877409015,-3920.11763508172
3.72999999999996,7.94503351997378e-13,2844.21713855148,-3900.12832366709
3.73999999999996,7.94503351997378e-13,2916.81641039177,-3879.40491766641
3.74999999999996,7.94503351997378e-13,2987.13566129276,-3857.77578962452
3.75999999999996,7.94503351997378e-13,3054.95116419339,-3835.04574801574
3.76999999999996,7.94503351997378e-13,3120.03113893655,-3810.99727112583
3.77999999999996,7.94503351997378e-13,3182.1433807144,-3785.39441250871
3.78999999999996,7.94503351997378e-13,3241.06624002142,-3757.99033408593
3.79999999999996,7.94503351997378e-13,3296.60288586426,-3728.5391624045
3.80999999999996,7.94503351997378e-13,3348.5978471267,-3696.81212655683
3.81999999999996,7.94503351997378e-13,3396.95362974732,-3662.61668792747
3.82999999999996,7.94503351997378e-13,3441.64419312575,-3625.81589501569
3.83999999999996,7.94503351997378e-13,3482.72188951495,-3586.34414767256
3.84999999999996,7.94503351997378e-13,3520.31559086186,-3544.21568886503
3.85999999999996,7.94503351997378e-13,3554.61994977399,-3499.52374651279
3.86999999999996,7.94503351997378e-13,3585.8781277235,-3452.43075308912
3.87999999999996,7.94503351997378e-13,3614.3617653943,-3403.152319422
3.88999999999996,7.94503351997378e-13,3640.35194817735,-3351.93867712669
3.89999999999996,7.94503351997378e-13,3664.12375948667,-3299.05696513818
3.90999999999996,7.94503351997378e-13,3685.93548803208,-3244.77655122354
3.91999999999996,7.94503351997378e-13,3706.02231516003,-3189.35825867399
3.92999999999996,7.94503351997378e-13,3724.59361764869,-3133.04737750553
3.93999999999996,7.94503351997378e-13,3741.83282054456,-3076.06980693652
3.94999999999996,7.94503351997378e-13,3757.89883410844,-3018.6305147895
3.95999999999996,7.94503351997378e-13,3772.92833150222,-2960.91355854921
3.96999999999996,7.94503351997378e-13,3787.03835672662,-2903.08306413087
3.97999999999996,7.94503351997378e-13,3800.32894600962,-2845.28472459399
