"Plot13"
"Time (sec)","Angular Velocity2 (deg/sec)"
6.45999999999991,28.7778998319856
6.46999999999991,32.0563637649665
6.47999999999991,35.2018120958368
6.48999999999991,38.217045564622
6.49999999999991,41.1048794500055
6.50999999999991,43.8681310276862
6.51999999999991,46.5096085432839
6.52999999999991,49.032101688086
6.53999999999991,51.4383735412105
6.5499999999999,53.7311539493432
6.5599999999999,55.9131343186718
6.5699999999999,57.9869637752366
6.5799999999999,59.9552466248474
6.5899999999999,61.8205410425981
6.5999999999999,63.5853589228545
6.6099999999999,65.2521668194499
6.6199999999999,66.8233878848166
6.6299999999999,68.3014047118101
6.6399999999999,69.6885629778283
6.6499999999999,70.987175789886
6.6599999999999,72.1995286205478
6.6699999999999,73.3278847126637
6.6799999999999,74.3744908281116
6.6899999999999,75.3415832143379
6.6999999999999,76.2313936570669
6.7099999999999,77.0461554860294
6.7199999999999,77.7881093953922
6.7299999999999,78.4595089457161
6.7399999999999,79.0626256197369
6.7499999999999,79.5997533070954
6.7599999999999,80.073212104669
6.7699999999999,80.4853513284094
6.7799999999999,80.8385516512114
6.7899999999999,81.1352262976068
6.7999999999999,81.3778212468416
6.8099999999999,81.5688144175439
6.8199999999999,81.7107138318293
6.8299999999999,81.8060547831031
6.8399999999999,81.8573960547763
6.8499999999999,81.8673152639934
6.8599999999999,81.8384034250042
6.8699999999999,81.7732588502796
6.8799999999999,81.674480523824
6.8899999999999,81.544661095954
6.8999999999999,81.3863796583057
6.9099999999999,81.2021944642725
6.9199999999999,80.9946357599134
6.9299999999999,80.7661988886183
6.9399999999999,80.5193378221254
6.9499999999999,80.2564592612241
6.9599999999999,79.9799174317378
6.9699999999999,79.6920096846175
6.9799999999999,79.3949729874466
6.9899999999999,79.0909813731458
6.9999999999999,78.7821443886689
7.00999999999989,78.4705065642243
7.01999999999989,78.1580479007796
7.02999999999989,77.8466853532875
7.03999999999989,77.538275266997
7.04999999999989,77.2346167069961
7.05999999999989,76.9374556059118
7.06999999999989,76.6484896406753
7.07999999999989,76.3693737395123
7.08999999999989,76.1017261103425
7.09999999999989,75.8471346761768
7.10999999999989,75.6071637979611
7.11999999999989,75.3833611624473
7.12999999999989,75.1772647115632
7.13999999999989,74.990409490058
7.14999999999989,74.8243342884949
7.15999999999989,74.6805879629364
7.16999999999989,74.5607353134704
7.17999999999989,74.466362409851
7.18999999999989,74.399081256244
7.19999999999989,74.3605336919027
7.20999999999989,74.3523944324783
7.21999999999989,74.3763731604958
7.22999999999989,74.4342155837163
7.23999999999989,74.527703385541
7.24999999999989,74.6586530019087
7.25999999999989,74.828913167651
7.26999999999989,75.040361185835
7.27999999999989,75.2948978845081
7.28999999999989,75.5944412368406
7.29999999999989,75.9409186339248
7.30999999999989,76.3362578117171
7.31999999999989,76.7823764485914
7.32999999999989,77.2811704638008
7.33999999999989,77.8345010619066
7.34999999999989,78.4441805836256
7.35999999999989,79.1119572375471
7.36999999999989,79.8394988027967
7.37999999999989,80.628375405292
7.38999999999989,81.4800414846712
7.39999999999989,82.3958170795623
7.40999999999989,83.3768685711183
7.41999999999989,84.4241890315529
7.42999999999989,85.5385783346487
7.43999999999989,86.7206231881208
7.44999999999989,87.9706772532408
7.45999999999989,89.2888415188216
7.46999999999989,90.6749450964117
7.47999999999988,92.1285266038627
7.48999999999988,93.6488163005179
7.49999999999988,95.2347191368531
7.50999999999988,96.8847988751207
7.51999999999988,98.5972634374898
7.52999999999988,100.369951633006
7.53999999999988,102.2003214149
7.54999999999988,104.08543981878
7.55999999999988,106.021974733927
7.56999999999988,108.006188664971
7.57999999999988,110.033934645308
7.58999999999988,112.100654474624
7.59999999999988,114.201379461258
7.60999999999988,116.330733863992
7.61999999999988,118.482941240366
7.62999999999988,120.651833922512
7.63999999999988,122.830865853196
7.64999999999988,125.01312902563
7.65999999999988,127.191373773326
7.66999999999988,129.358033158215
7.67999999999988,131.505251691247
7.68999999999988,133.624918600621
7.69999999999988,135.708705827607
7.70999999999988,137.74811087655
7.71999999999988,139.734504581616
7.72999999999988,141.659183761231
7.73999999999988,143.513428628967
7.74999999999988,145.288564702836
7.75999999999988,146.976029595396
7.76999999999988,148.567439182158
7.77999999999988,150.054666115655
7.78999999999988,151.42990864154
7.79999999999988,152.685768180461
7.80999999999988,153.815324261796
7.81999999999988,154.812208052009
7.82999999999988,155.670672910887
7.83999999999988,156.385660851225
7.84999999999988,156.952863212085
7.85999999999988,157.368774360252
7.86999999999988,157.630737153755
7.87999999999988,157.736979097787
7.88999999999988,157.686638398667
7.89999999999988,157.479779266468
7.90999999999988,157.117396197933
7.91999999999988,156.601407164887
7.92999999999988,155.934635985038
7.93999999999988,155.120784373421
7.94999999999987,154.164394435994
7.95999999999987,153.070802555702
7.96999999999987,151.846085773072
7.97999999999987,150.49700187052
7.98999999999987,149.030924412789
7.99999999999987,147.455774004361
8.00999999999987,145.779946976356
8.01999999999987,144.012242641729
8.02999999999987,142.16179014796
8.03999999999987,140.237975832696
8.04999999999987,138.250371852506
8.05999999999987,136.20866671646
8.06999999999987,134.122598225936
8.07999999999987,132.001889200267
8.08999999999987,129.856186262523
8.09999999999987,127.695001871007
8.10999999999987,125.527659713644
8.11999999999987,123.363243531183
8.12999999999987,121.210549402826
8.13999999999987,119.078041510747
8.14999999999987,116.973811396422
8.15999999999987,114.905540727972
8.16999999999987,112.880467610557
8.17999999999987,110.905356490606
8.18999999999987,108.986471722298
8.19999999999987,107.129554880452
8.20999999999987,105.339805917722
8.21999999999987,103.62186826802
8.22999999999987,101.979817996379
8.23999999999987,100.417157084263
8.24999999999987,98.9368109179362
8.25999999999987,97.5411300180989
8.26999999999987,96.2318960104599
8.27999999999987,95.0103317901333
8.28999999999987,93.8771157815709
8.29999999999987,92.8324001405388
8.30999999999987,91.8758326865886
8.31999999999987,91.0065822993574
8.32999999999987,90.2233674581314
8.33999999999987,89.5244875557499
8.34999999999987,88.907856578577
8.35999999999987,88.3710386641275
8.36999999999987,87.911285261509
8.37999999999987,87.5255731764037
8.38999999999987,87.2106430471698
8.39999999999987,86.9630379831913
8.40999999999987,86.7791417486252
8.41999999999986,86.6552161483644
8.42999999999986,86.5874371973187
8.43999999999986,86.5719297125264
8.44999999999986,86.6048000530178
8.45999999999986,86.6821667698186
8.46999999999986,86.8001889529136
8.47999999999986,86.9550921057875
8.48999999999986,87.1431914457352
8.49999999999986,87.3609125785467
8.50999999999986,87.6048095252156
8.51999999999986,87.8715801059043
8.52999999999986,88.1580787235375
8.53999999999986,88.4613266265405
8.54999999999986,88.778519750675
8.55999999999986,89.1070342497334
8.56999999999986,89.4444298403701
8.57999999999986,89.7884510995898
8.58999999999986,90.137026864004
8.59999999999986,90.4882678785432
8.60999999999986,90.8404628432269
8.61999999999986,91.1920730059238
8.62999999999986,91.541725450511
8.63999999999986,91.8882052250809
8.64999999999986,92.2304464490333
8.65999999999986,92.5675225335367
8.66999999999986,92.898635646071
8.67999999999986,93.2231055459907
8.68999999999986,93.5403579123242
8.69999999999986,93.8499122808737
8.70999999999986,94.1513697031527
8.71999999999986,94.4444002391139
8.72999999999986,94.7287303894738
8.73999999999986,95.0041305735446
8.74999999999986,95.2704027529456
8.75999999999986,95.5273683014242
8.76999999999986,95.7748562182402
8.77999999999986,96.0126917780661
8.78999999999986,96.2406857091648
8.79999999999986,96.4586239856036
8.80999999999986,96.6662583153562
8.81999999999986,96.8632974006044
8.82999999999986,97.0493990383047
8.83999999999986,97.2241631209149
8.84999999999986,97.387125588503
8.85999999999986,97.5377533703367
8.86999999999986,97.6754403432169
8.87999999999986,97.7995043199334
8.88999999999985,97.9091850644131
8.89999999999985,98.0036433190917
8.90999999999985,98.0819608085545
8.91999999999985,98.1431411732264
8.92999999999985,98.1861117668574
8.93999999999985,98.2097262397064
8.94999999999985,98.2127678148241
8.95999999999985,98.1939531531313
8.96999999999985,98.1519366937998
8.97999999999985,98.0853153489871
8.98999999999985,97.9926334278449
8.99999999999985,97.8723876628205
9.00999999999985,97.7230322129017
9.01999999999985,97.5429835233992
9.02999999999985,97.3306249267096
9.03999999999985,97.0843108822064
9.04999999999985,96.8023707596953
9.05999999999985,96.4831120904212
9.06999999999985,96.1248232190684
9.07999999999985,95.725775310122
9.08999999999985,95.2842236756781
9.09999999999985,94.7984084087354
9.10999999999985,94.2665543217753
9.11999999999985,93.68687020463
9.12999999999985,93.057547429516
9.13999999999985,92.3767579436402
9.14999999999985,91.6426516992732
9.15999999999985,90.8533535820224
9.16999999999985,90.0069599036581
9.17999999999985,89.1015345327305
9.18999999999985,88.135104741009
9.19999999999985,87.1056568452343
9.20999999999985,86.0111317282281
9.21999999999985,84.8494203216676
9.22999999999985,83.618359136233
9.23999999999985,82.3157259214262
9.24999999999985,80.9392355404735
9.25999999999985,79.4865361416489
9.26999999999985,77.9552057090953
9.27999999999985,76.3427490747895
